ts,tmpc
1960-03-07,-13.074999999999996
1960-03-14,-7.527380952380956
1960-03-21,-5.433333333333334
1960-03-28,-3.1333333333333346
1960-04-04,4.764880952380953
1960-04-11,4.159523809523811
1960-04-18,10.813095238095235
1960-04-25,17.091715976331358
1960-05-02,9.632142857142858
1960-05-09,11.414880952380955
1960-05-16,13.773809523809522
1960-05-23,16.80773809523809
1960-05-30,16.583333333333332
1960-06-06,19.372023809523803
1960-06-13,17.70833333333332
1960-06-20,18.839880952380945
1960-06-27,19.831547619047623
1960-07-04,20.999404761904753
1960-07-11,20.320238095238107
1960-07-18,21.354166666666675
1960-07-25,24.90357142857143
1960-08-01,22.68571428571428
1960-08-08,24.314880952380953
1960-08-15,19.836309523809522
1960-08-22,21.657142857142855
1960-08-29,23.11666666666669
1960-09-05,26.615476190476187
1960-09-12,19.677380952380943
1960-09-19,15.534523809523805
1960-09-26,15.632142857142853
1960-10-03,12.023809523809527
1960-10-10,12.534523809523805
1960-10-17,14.34583333333333
1960-10-24,5.15297619047619
1960-10-31,7.530357142857148
1960-11-07,3.3595238095238065
1960-11-14,3.14047619047619
1960-11-21,5.5886904761904805
1960-11-28,4.96309523809524
1960-12-05,-0.18988095238095118
1960-12-12,-5.654166666666665
1960-12-19,-6.151785714285715
1960-12-26,-12.968452380952376
1961-01-02,-5.836309523809521
1961-01-09,-7.2464285714285745
1961-01-16,-1.533333333333334
1961-01-23,-10.236309523809519
1961-01-30,-15.785714285714281
1961-02-06,-8.901785714285708
1961-02-13,-1.3452380952380956
1961-02-20,-1.3196428571428576
1961-02-27,0.03273809523809516
1961-03-06,1.8910714285714265
1961-03-13,-0.641071428571429
1961-03-20,-0.7708333333333334
1961-03-27,5.7904761904761894
1961-04-03,0.830357142857143
1961-04-10,3.0559523809523808
1961-04-17,3.337499999999999
1961-04-24,11.047619047619046
1961-05-01,7.741420118343201
1961-05-08,11.072023809523806
1961-05-15,16.864285714285717
1961-05-22,12.5904761904762
1961-05-29,14.694047619047607
1961-06-05,19.599404761904758
1961-06-12,23.107738095238084
1961-06-19,19.414285714285718
1961-06-26,18.60416666666668
1961-07-03,25.123214285714273
1961-07-10,20.572023809523806
1961-07-17,21.363690476190477
1961-07-24,21.712499999999995
1961-07-31,24.36130952380952
1961-08-07,22.29404761904761
1961-08-14,22.160119047619045
1961-08-21,21.683333333333348
1961-08-28,21.361904761904768
1961-09-04,23.25476190476191
1961-09-11,23.19880952380951
1961-09-18,14.5327380952381
1961-09-25,14.263095238095227
1961-10-02,9.376190476190482
1961-10-09,16.31726190476191
1961-10-16,14.631547619047621
1961-10-23,9.42202380952381
1961-10-30,10.099404761904761
1961-11-06,5.9976190476190485
1961-11-13,4.43392857142857
1961-11-20,0.49821428571428583
1961-11-27,3.597023809523812
1961-12-04,3.5452380952380946
1961-12-11,-5.144642857142859
1961-12-18,-11.713690476190482
1961-12-25,-5.4785714285714295
1962-01-01,-11.368452380952384
1962-01-08,-5.439285714285714
1962-01-15,-12.498809523809511
1962-01-22,-18.802380952380958
1962-01-29,-6.827976190476195
1962-02-05,-6.976190476190479
1962-02-12,-8.9779761904762
1962-02-19,-2.6845238095238093
1962-02-26,-8.960119047619058
1962-03-05,-16.584523809523812
1962-03-12,-2.601785714285709
1962-03-19,-5.08154761904762
1962-03-26,0.11845238095238123
1962-04-02,3.3720238095238115
1962-04-09,3.9642857142857157
1962-04-16,2.9666666666666663
1962-04-23,11.12797619047619
1962-04-30,16.898224852071
1962-05-07,16.34047619047618
1962-05-14,16.211309523809526
1962-05-21,24.08214285714286
1962-05-28,18.380357142857154
1962-06-04,17.455357142857135
1962-06-11,21.202380952380945
1962-06-18,21.885119047619035
1962-06-25,21.830952380952382
1962-07-02,23.672619047619037
1962-07-09,23.972619047619038
1962-07-16,21.04940476190479
1962-07-23,21.53571428571429
1962-07-30,18.64940476190477
1962-08-06,21.319642857142863
1962-08-13,21.860714285714284
1962-08-20,20.15714285714286
1962-08-27,21.90773809523809
1962-09-03,21.60773809523808
1962-09-10,14.847619047619029
1962-09-17,19.233333333333327
1962-09-24,12.660714285714283
1962-10-01,12.214285714285726
1962-10-08,14.10595238095236
1962-10-15,19.718452380952368
1962-10-22,11.817261904761908
1962-10-29,3.974404761904762
1962-11-05,3.5736526946107783
1962-11-12,2.1273809523809524
1962-11-19,3.448809523809527
1962-11-26,2.717857142857138
1962-12-03,7.768452380952381
1962-12-10,-4.442857142857147
1962-12-17,-8.762499999999996
1962-12-24,-3.9535714285714283
1962-12-31,-11.27261904761905
1963-01-07,-3.242261904761906
1963-01-14,-8.452976190476189
1963-01-21,-21.04047619047618
1963-01-28,-21.148809523809536
1963-02-04,-12.623214285714282
1963-02-11,-4.922023809523809
1963-02-18,-9.833928571428569
1963-02-25,-10.9297619047619
1963-03-04,-5.192857142857138
1963-03-11,-3.397619047619046
1963-03-18,1.3750000000000002
1963-03-25,5.5047619047619065
1963-04-01,11.793452380952385
1963-04-08,10.224404761904765
1963-04-15,7.98392857142857
1963-04-22,11.92321428571428
1963-04-29,10.788757396449705
1963-05-06,13.149999999999997
1963-05-13,17.80476190476192
1963-05-20,14.432142857142848
1963-05-27,12.482738095238092
1963-06-03,20.123809523809513
1963-06-10,25.662500000000005
1963-06-17,18.586309523809533
1963-06-24,20.41547619047618
1963-07-01,26.41726190476191
1963-07-08,20.02321428571428
1963-07-15,21.541071428571428
1963-07-22,24.252380952380946
1963-07-29,24.761309523809523
1963-08-05,23.786309523809503
1963-08-12,24.080357142857146
1963-08-19,17.719047619047625
